StudentID;Group;Spelling_pre;Punctuation_pre;Capitalization_pre;Tense_pre;Agreement_pre;Article_pronoun_Preposition_pre;Vocabulary_pre;HolisticScore_pre;Spelling_post;Punctuation_post;Capitalization_post;Tense_post;Agreement_post;Article_pronoun_Preposition_post;Vocabulary_post;HolisticScore_post;sex;age
Stu1;Experimental;5;3;2;2;3;4;2;6;6;4;2;3;3;2;1;5;F;17
Stu2;Experimental;6;3;1;1;1;2;3;10;2;1;0;1;0;0;0;12;F;17
Stu3;Experimental;7;3;1;1;1;3;1;10;3;0;0;1;0;0;0;15;F;17
Stu4;Experimental;8;5;3;2;3;4;3;10;5;2;1;0;2;1;0;14;F;17
Stu5;Experimental;6;4;3;4;3;4;2;2;3;2;1;1;2;1;0;3;M;17
Stu6;Experimental;8;4;3;3;4;5;2;3;6;4;3;3;2;3;1;3;F;16
Stu7;Experimental;7;5;4;2;3;4;2;5;3;2;2;0;0;1;0;13;F;17
Stu8;Experimental;7;5;4;3;4;5;2;4;3;2;2;0;1;2;1;8;F;17
Stu9;Experimental;4;3;3;2;3;5;2;6;2;1;1;1;0;1;1;10;F;17
Stu10;Experimental;8;4;3;4;2;5;2;1;5;3;3;3;1;2;0;6;F;17
Stu11;Experimental;7;5;3;5;3;5;3;1;3;2;2;2;0;1;0;10;F;17
Stu12;Experimental;6;4;4;3;4;5;2;1;4;4;2;2;1;3;1;7;F;17
Stu13;Experimental;5;4;4;3;2;4;3;1;3;2;2;3;1;2;0;10;F;17
Stu14;Experimental;11;7;5;6;4;6;4;6;6;3;2;3;2;2;0;7;F;17
Stu15;Experimental;8;7;6;5;4;3;4;10;3;3;2;2;1;1;0;13;F;17
Stu16;Experimental;8;5;4;2;2;5;3;10;4;2;2;0;0;1;0;13;F;17
Stu17;Experimental;5;2;2;1;1;1;1;14;2;0;0;0;1;0;0;17;F;17
Stu18;Experimental;5;3;2;3;3;5;2;10;2;1;1;0;1;0;0;15;F;17
Stu19;Experimental;8;5;5;6;5;7;5;2;6;3;3;4;2;3;5;5;M;17
Stu20;Experimental;10;6;5;3;2;4;4;2;6;5;3;1;1;3;2;4;M;17
Stu21;Experimental;5;5;4;3;4;5;4;2;4;5;3;1;2;4;2;3;F;17
Stu22;Experimental;7;6;4;3;4;5;4;1;6;5;2;3;2;4;2;2;F;17
Stu23;Experimental;6;4;3;3;2;5;2;6;2;1;2;0;0;1;0;12;F;17
Stu24;Experimental;4;3;3;2;3;4;2;1;2;2;1;2;2;3;0;5;F;17
Stu25;Experimental;8;5;4;3;3;4;2;9;4;2;2;0;1;1;0;11;F;17
Stu26;Experimental;8;5;3;3;4;3;4;1;6;3;3;2;3;1;2;4;F;17
Stu27;Experimental;8;6;4;2;3;5;3;10;3;3;1;0;0;1;0;14;M;17
Stu28;Experimental;8;5;5;3;4;6;5;1;6;3;4;2;2;5;6;4;M;17
Stu29;Experimental;3;3;4;2;2;4;3;1;1;1;2;1;0;1;2;6;M;17
Stu30;Experimental;8;5;3;3;2;4;3;3;5;3;2;3;1;2;4;10;F;17
Stu31;Experimental;6;3;2;5;3;4;4;1;4;2;3;4;2;2;4;4;M;17
Stu32;Experimental;8;5;4;3;3;5;3;4;5;3;1;1;1;2;0;10;F;18
Stu33;Experimental;6;2;2;1;1;3;2;10;3;2;2;0;0;1;0;12;M;18
Stu34;Experimental;7;4;3;3;2;4;5;2;3;2;3;2;2;3;1;5;F;17
stu35;Control;8;5;7;2;3;6;3;10;6;4;3;1;2;4;1;12;F;17
stu36;Control;4;6;4;1;1;1;1;12;3;4;2;1;0;2;0;16;M;17
stu37;Control;10;7;7;3;3;5;4;3;8;8;5;2;4;6;6;2;M;17
stu38;Control;7;5;3;3;2;3;3;10;5;5;1;4;1;2;1;11;F;17
stu39;Control;7;5;4;4;4;3;6;3;6;3;2;3;2;5;4;4;M;17
stu40;Control;6;7;6;4;5;4;4;2;6;4;4;4;3;5;3;3;M;17
stu41;Control;6;4;2;1;1;4;3;14;3;3;1;1;0;3;1;15.5;F;16
stu42;Control;10;8;5;4;3;6;5;3;8;5;3;3;2;3;4;6;F;17
stu43;Control;10;4;6;3;4;5;3;3;8;2;3;4;3;2;4;4;F;17
stu44;Control;0.8;5;3;2;3;4;3;5;4;3;1;0;0;2;1;10;F;17
stu45;Control;8;6;3;3;4;6;6;2;6;4;4;2;2;5;4;5;F;17
stu46;Control;9;7;7;5;4;5;6;2;8;5;6;6;5;4;4;3;M;17
stu47;Control;8;9;7;5;4;5;7;1;6;6;5;5;3;4;6;5;M;17
stu48;Control;11;5;3;1;3;4;3;10;5;2;2;2;2;3;0;12;F;17
stu49;Control;9;3;3;1;2;5;3;1;8;5;4;1;4;0;1;5;F;17
stu50;Control;8;6;5;3;4;5;4;6;6;2;3;2;2;4;3;8;F;16
stu51;Control;8;5;6;4;3;5;4;2;7;5;5;5;3;6;3;2;F;17
stu52;Control;10;6;5;4;5;5;6;4;8;6;3;3;4;6;4;6;F;17
stu53;Control;8;5;4;1;1;3;2;1;7;4;4;2;0;2;3;3;M;17
stu54;Control;12;6;4;3;4;5;6;1;10;4;5;4;3;3;4;2;M;17
stu55;Control;9;7;4;4;3;5;4;4;8;5;5;3;4;6;3;5.5;M;17
stu56;Control;8;6;4;5;3;5;4;2;7;6;5;4;2;2;4;4;F;17
stu57;Control;9;5;3;3;3;4;6;2;7;4;1;1;5;5;4;7;F;17
stu58;Control;10;5;4;4;5;6;4;2;7;5;4;2;2;1;5;5;F;17
stu59;Control;11;6;4;2;2;5;4;2;9;7;3;3;2;6;3;4;F;17
stu60;Control;11;8;4;3;3;5;6;2;9;6;4;2;4;3;5;3;M;17
stu61;Control;5;4;3;2;2;4;2;10;3;5;2;3;1;2;3;12;F;17
stu62;Control;8;6;4;3;3;5;6;5;10;7;5;4;5;6;8;4;M;17
stu63;Control;5;3;4;1;2;3;2;1;9;7;5;3;4;6;4;1;M;17
stu64;Control;9;7;4;4;3;5;3;10;5;5;5;3;2;3;1;13;F;17
stu65;Control;10;8;5;4;5;6;6;1;9;6;6;5;4;4;5;1;F;18
stu66;Control;5;4;3;3;1;3;2;10;3;4;2;1;1;4;4;11.5;F;17
stu67;Control;4;5;5;4;1;2;3;11;3;2;2;2;1;3;1;13;F;17
stu68;Control;10;9;4;4;4;3;7;2;11;8;6;5;3;6;5;2;F;17
