variable,n_missing
StudentID,0
Group,0
Spelling_pre,0
Punctuation_pre,0
Capitalization_pre,0
Tense_pre,0
Agreement_pre,0
Article_pronoun_Preposition_pre,0
Vocabulary_pre,0
HolisticScore_pre,0
Spelling_post,0
Punctuation_post,0
Capitalization_post,0
Tense_post,0
Agreement_post,0
Article_pronoun_Preposition_post,0
Vocabulary_post,0
HolisticScore_post,0
sex,0
age,0
pre_mechanics,0
post_mechanics,0
pre_grammar,0
post_grammar,0
pre_vocabulary,0
post_vocabulary,0
pre_holistic,0
post_holistic,0
grammar_reduction,0
vocabulary_reduction,0
mechanics_reduction,0
