variable,n,mean,sd,min,max
pre_holistic,68,4.779411764705882,3.927878118588507,1,14
post_holistic,68,7.536764705882353,4.448977894080764,1,17
pre_grammar,68,10.294117647058824,2.9878301592593,3,18
post_grammar,68,6.75,4.005127310850356,1,15
pre_vocabulary,68,3.514705882352941,1.5209251608936938,1,7
post_vocabulary,68,2.161764705882353,2.0560089879997445,0,8
pre_mechanics,68,16.379411764705882,4.237450614286407,8.8,24
post_mechanics,68,11.602941176470589,5.300351173615983,2,25
grammar_reduction,68,3.5441176470588234,3.6382455322746936,-7,10
vocabulary_reduction,68,1.3529411764705883,1.4430968553086034,-2,4
mechanics_reduction,68,4.776470588235294,3.687903487545518,-9,13
