StudentID,Group,pre_holistic,post_holistic,holistic_gain
Stu1,Experimental,6,5,-1
Stu2,Experimental,10,12,2
Stu3,Experimental,10,15,5
Stu4,Experimental,10,14,4
Stu5,Experimental,2,3,1
Stu6,Experimental,3,3,0
Stu7,Experimental,5,13,8
Stu8,Experimental,4,8,4
Stu9,Experimental,6,10,4
Stu10,Experimental,1,6,5
Stu11,Experimental,1,10,9
Stu12,Experimental,1,7,6
Stu13,Experimental,1,10,9
Stu14,Experimental,6,7,1
Stu15,Experimental,10,13,3
Stu16,Experimental,10,13,3
Stu17,Experimental,14,17,3
Stu18,Experimental,10,15,5
Stu19,Experimental,2,5,3
Stu20,Experimental,2,4,2
Stu21,Experimental,2,3,1
Stu22,Experimental,1,2,1
Stu23,Experimental,6,12,6
Stu24,Experimental,1,5,4
Stu25,Experimental,9,11,2
Stu26,Experimental,1,4,3
Stu27,Experimental,10,14,4
Stu28,Experimental,1,4,3
Stu29,Experimental,1,6,5
Stu30,Experimental,3,10,7
Stu31,Experimental,1,4,3
Stu32,Experimental,4,10,6
Stu33,Experimental,10,12,2
Stu34,Experimental,2,5,3
stu35,Control,10,12,2
stu36,Control,12,16,4
stu37,Control,3,2,-1
stu38,Control,10,11,1
stu39,Control,3,4,1
stu40,Control,2,3,1
stu41,Control,14,15.5,1.5
stu42,Control,3,6,3
stu43,Control,3,4,1
stu44,Control,5,10,5
stu45,Control,2,5,3
stu46,Control,2,3,1
stu47,Control,1,5,4
stu48,Control,10,12,2
stu49,Control,1,5,4
stu50,Control,6,8,2
stu51,Control,2,2,0
stu52,Control,4,6,2
stu53,Control,1,3,2
stu54,Control,1,2,1
stu55,Control,4,5.5,1.5
stu56,Control,2,4,2
stu57,Control,2,7,5
stu58,Control,2,5,3
stu59,Control,2,4,2
stu60,Control,2,3,1
stu61,Control,10,12,2
stu62,Control,5,4,-1
stu63,Control,1,1,0
stu64,Control,10,13,3
stu65,Control,1,1,0
stu66,Control,10,11.5,1.5
stu67,Control,11,13,2
stu68,Control,2,2,0
