Subcategory,Group,W,p_value,result
Spelling,Control,0.8307291543273524,1.0685650112921905e-4,Non-normal
Spelling,Experimental,0.9098389620808065,0.008431609674533873,Non-normal
Punctuation,Control,0.9248631556999396,0.022224104158750757,Non-normal
Punctuation,Experimental,0.9167708161622513,0.013108617415725238,Non-normal
Capitalization,Control,0.9076710095455682,0.007360157743617192,Non-normal
Capitalization,Experimental,0.911343409078594,0.009270992673895353,Non-normal
Tense,Control,0.8693868387024546,7.834500209395762e-4,Non-normal
Tense,Experimental,0.897952979579292,0.0040518411908992465,Non-normal
Agreement,Control,0.887355316646217,0.002161328673428554,Non-normal
Agreement,Experimental,0.8732739633065959,9.707297434434403e-4,Non-normal
Article/Pronoun/Preposition,Control,0.930333347159634,0.031989164351501294,Non-normal
Article/Pronoun/Preposition,Experimental,0.9032928421857487,0.0056107266154250875,Non-normal
Vocabulary,Control,0.8143244102957996,4.9103908935281174e-5,Non-normal
Vocabulary,Experimental,0.928387228078168,0.028083261501130472,Non-normal
